Server_05, 4.553687091200001; Server_04, 4.553687091200001; Server_07, 4.553687091200001; Server_06, 4.553687091200001; Server_0, 4.553687091200001; Server_02, 4.553687091200001; Server_03, 4.553687091200001; Server_00, 4.999979293782571; Server_01, 4.553687091200001; 
Server_05, 4.499813668886502; Server_04, 4.499873732457732; Server_07, 4.499890594599136; Server_06, 4.500038420047126; Server_0, 4.499883574913232; Server_02, 4.4997813107904445; Server_03, 4.499803738608805; Server_00, 2.4667857261946984; Server_01, 4.500034147257649; 
Server_05, 4.515709034583546; Server_04, 4.515715483860399; Server_07, 4.515717294419045; Server_06, 4.515733167055661; Server_0, 4.515716540686011; Server_02, 4.5157055601594385; Server_03, 4.515707968328098; Server_00, 2.501128574178547; Server_01, 4.515732708268385; 
Server_05, 4.544034698126738; Server_04, 4.544035390612566; Server_07, 4.544035585019821; Server_06, 4.544037289331201; Server_0, 4.544035504088352; Server_02, 4.54403432506329; Server_03, 4.54403458363843; Server_00, 2.5763515786404056; Server_01, 4.544037240069292; 
Server_05, 4.444161309725885; Server_04, 4.355094526685119; Server_07, 4.441452761133979; Server_06, 4.420402009656256; Server_0, 4.407081129552393; Server_02, 4.34854754483847; Server_03, 4.458404317508199; Server_00, 2.604000399043176; Server_01, 4.445087552286189; 
Server_05, 4.425228813809208; Server_04, 4.433670820143875; Server_07, 4.450524210140323; Server_06, 4.4980405819492955; Server_0, 4.4438606316818525; Server_02, 4.400874206548475; Server_03, 4.423366061379068; Server_00, 2.6160946693159612; Server_01, 4.498881575174494; 
Server_05, 4.483166692558357; Server_04, 4.486804521076494; Server_07, 4.489380941461393; Server_06, 4.501205296121722; Server_0, 4.4883462268157075; Server_02, 4.479080160669855; Server_03, 4.482515104291504; Server_00, 2.614634987559237; Server_01, 4.501101293112132; 
Server_05, 4.497272648377265; Server_04, 4.497954564744085; Server_07, 4.498312986933021; Server_06, 4.084563712286604; Server_0, 4.498167839912717; Server_02, 4.496676924030872; Server_03, 4.497154522908007; Server_00, 3.2327923094910265; Server_01, 4.500267678551332; 
Server_05, 4.508812092618082; Server_04, 4.508924749536024; Server_07, 4.508974306216918; Server_06, 3.3646167151410724; Server_0, 4.508954112169514; Server_02, 4.508726881435317; Server_03, 4.508792888943225; Server_00, 3.857836494643303; Server_01, 4.509278443832527; 
Server_05, 4.520158795713637; Server_04, 4.419060850141437; Server_07, 4.347011614009838; Server_06, 3.895932785060544; Server_0, 4.454081680363848; Server_02, 4.423516690308345; Server_03, 4.36452633655207; Server_00, 4.088236210781727; Server_01, 4.13528481430626; 
Server_05, 4.48044200638047; Server_04, 4.473123023432615; Server_07, 4.46952299750394; Server_06, 4.057402706958426; Server_0, 4.4793741607373585; Server_02, 4.4638612557442015; Server_03, 4.463045074847684; Server_00, 4.577304659927501; Server_01, 4.4613571338402505; 
Server_05, 4.503676750516943; Server_04, 4.49921556024948; Server_07, 4.5028349556281135; Server_06, 3.718689010874824; Server_0, 4.502262825691845; Server_02, 4.497639306345423; Server_03, 4.502487111124002; Server_00, 4.954572021020566; Server_01, 4.502962951384925; 
Server_05, 4.488432760053557; Server_04, 4.441892367336164; Server_07, 4.426258671785405; Server_06, 4.104015139699826; Server_0, 4.461088013982076; Server_02, 4.432347096356776; Server_03, 4.424595260876452; Server_00, 4.95684059628558; Server_01, 4.365405755094642; 
Server_05, 4.4894571554999105; Server_04, 4.481480076933241; Server_07, 4.478340557142255; Server_06, 4.122892808748222; Server_0, 4.486407890460236; Server_02, 4.475817918181889; Server_03, 4.474810916706702; Server_00, 4.995324381878433; Server_01, 4.468959755423872; 
Server_05, 4.513833251752907; Server_04, 4.463980072577064; Server_07, 4.461770893603117; Server_06, 3.843192900850507; Server_0, 4.478735231892337; Server_02, 4.460930851904253; Server_03, 4.464593243635672; Server_00, 4.999456546892123; Server_01, 4.4240964031954535; 
Server_05, 4.500377392158022; Server_04, 4.475007148475239; Server_07, 4.467649470951249; Server_06, 3.8237244977184184; Server_0, 4.4858710058223945; Server_02, 4.468130615002076; Server_03, 4.465281881759413; Server_00, 4.593069132314228; Server_01, 4.0098821210391735; 
Server_05, 4.453155412209372; Server_04, 4.403770665882821; Server_07, 4.4704966153758035; Server_06, 4.381454932542484; Server_0, 4.441365534654247; Server_02, 4.401710336775949; Server_03, 4.465959781753478; Server_00, 3.2462430123909503; Server_01, 2.702975607893779; 
Server_05, 4.467002672927847; Server_04, 4.458109483146098; Server_07, 4.470245908249249; Server_06, 4.2328392247888065; Server_0, 4.468774433041636; Server_02, 4.445124357255821; Server_03, 4.460342996516185; Server_00, 4.1915253207596415; Server_01, 3.6588020952535376; 
Server_05, 4.507284850006529; Server_04, 4.467030206753845; Server_07, 4.4665393181942745; Server_06, 3.900062529391219; Server_0, 4.479770251037401; Server_02, 4.4626983644349805; Server_03, 4.467158075988793; Server_00, 4.913149279890604; Server_01, 4.3505596611774315; 
Server_05, 4.485414802098917; Server_04, 4.456753502273015; Server_07, 4.456019297547672; Server_06, 4.078283966674929; Server_0, 4.470572633752828; Server_02, 4.4469115624616835; Server_03, 4.451317573437068; Server_00, 4.990633062502543; Server_01, 4.015074998251487; 
Server_05, 4.490391895677478; Server_04, 4.469945293763986; Server_07, 4.475958424518656; Server_06, 4.0351357016607885; Server_0, 4.479431836488716; Server_02, 4.462198874727853; Server_03, 4.471453493499692; Server_00, 4.998952820309759; Server_01, 4.082504413682992; 
Server_05, 4.501317671686052; Server_04, 4.468351745503162; Server_07, 4.465244624763123; Server_06, 3.6798306759648622; Server_0, 4.480044199066427; Server_02, 4.4632512416566215; Server_03, 4.464752854575584; Server_00, 4.674827005455491; Server_01, 4.361192693811931; 
Server_05, 4.446402588739571; Server_04, 4.500221435912131; Server_07, 4.428120764242299; Server_06, 2.572630634019692; Server_0, 4.510121934946328; Server_02, 4.497795079364962; Server_03, 4.436469244183203; Server_00, 3.445919989805716; Server_01, 4.258157134640117; 
Server_05, 4.489106507933212; Server_04, 4.489726856146541; Server_07, 4.482806224172464; Server_06, 2.743597312910415; Server_0, 4.494539315414946; Server_02, 4.486170509035487; Server_03, 4.480280250457256; Server_00, 3.559612826940377; Server_01, 3.8416654553325573; 
Server_05, 4.486958412447189; Server_04, 4.467031911990448; Server_07, 4.493005427668414; Server_06, 3.125447552135979; Server_0, 4.482471854185363; Server_02, 4.469920197273307; Server_03, 4.49111091500347; Server_00, 3.486577629300987; Server_01, 3.5498012462791433; 
Server_05, 4.468507085366949; Server_04, 4.455148519847673; Server_07, 4.479662975895305; Server_06, 3.354825838372865; Server_0, 4.46938121473873; Server_02, 4.445610158950572; Server_03, 4.471560073361703; Server_00, 3.3138007767475366; Server_01, 3.3955727746068742; 
Server_05, 4.486114875512801; Server_04, 4.47090900932954; Server_07, 4.487233217362686; Server_06, 3.2579746372744682; Server_0, 4.485100005151171; Server_02, 4.471320472909296; Server_03, 4.483486555450048; Server_00, 3.6596703910937114; Server_01, 2.7330413384419607; 
Server_05, 4.476460921300833; Server_04, 4.451626278459035; Server_07, 4.474151550017565; Server_06, 3.1946845221229085; Server_0, 4.469079549075091; Server_02, 4.445375767798109; Server_03, 4.4688321029801505; Server_00, 3.6939983496766096; Server_01, 3.095253242588235; 
Server_05, 4.460287626409885; Server_04, 4.48767602078918; Server_07, 4.449451194454225; Server_06, 2.2634068951749495; Server_0, 4.496576012345258; Server_02, 4.482491875070088; Server_03, 4.4511805643900235; Server_00, 3.462840370376802; Server_01, 4.201653611214644; 
Server_05, 4.476669191072447; Server_04, 4.4675608982626915; Server_07, 4.480707835984666; Server_06, 2.1634117213939996; Server_0, 4.480836467779794; Server_02, 4.464913193195983; Server_03, 4.477328942526713; Server_00, 3.395835360200598; Server_01, 3.6223021083770583; 
Server_05, 4.482744190171747; Server_04, 4.473325545298725; Server_07, 4.483604838180387; Server_06, 2.7285538773050426; Server_0, 4.484096334097927; Server_02, 4.469178793511765; Server_03, 4.479473960104933; Server_00, 3.615233049092615; Server_01, 2.7532904757153234; 
Server_05, 4.475569687396831; Server_04, 4.454096522872044; Server_07, 4.480476293928447; Server_06, 3.110890792331794; Server_0, 4.471979012786032; Server_02, 4.4507935130014635; Server_03, 4.475593905852151; Server_00, 3.5251095264561387; Server_01, 2.5445963649822905; 
Server_05, 4.476776061264602; Server_04, 4.468983811925976; Server_07, 4.473460925859441; Server_06, 2.362717070840899; Server_0, 4.481932532533957; Server_02, 4.463955592093592; Server_03, 4.470772262416924; Server_00, 3.6380912883730248; Server_01, 2.9742058125327864; 
Server_05, 4.4806688111258035; Server_04, 4.469808852494288; Server_07, 4.4812272709969365; Server_06, 2.8862459180017654; Server_0, 4.483135380061719; Server_02, 4.467465056840603; Server_03, 4.478021895101371; Server_00, 3.601799685841298; Server_01, 2.5926707632868093; 
Server_05, 4.468805587809802; Server_04, 4.483612966234803; Server_07, 4.462573232400046; Server_06, 2.349595315512709; Server_0, 4.492662218467129; Server_02, 4.47915681680011; Server_03, 4.462378207852438; Server_00, 3.4329319470173463; Server_01, 3.8699366032398728; 
Server_05, 4.476595477061844; Server_04, 4.470804301351457; Server_07, 4.479574168750446; Server_06, 2.172666132560115; Server_0, 4.482835002006358; Server_02, 4.467056255200994; Server_03, 4.476300200667512; Server_00, 3.432231375812384; Server_01, 3.705570665273107; 
Server_05, 4.47697827988587; Server_04, 4.466309890782064; Server_07, 4.474116418380292; Server_06, 2.1536685061978798; Server_0, 4.480665706992381; Server_02, 4.462301466051528; Server_03, 4.471262796927758; Server_00, 3.6226537276562816; Server_01, 3.1255722963895165; 
Server_05, 4.472352657247943; Server_04, 4.480341966754589; Server_07, 4.467672191503762; Server_06, 2.1516286515996943; Server_0, 4.490569221812136; Server_02, 4.476869678525184; Server_03, 4.4669418041812285; Server_00, 3.4710377268192976; Server_01, 3.734842157317612; 
Server_05, 4.476156731542574; Server_04, 4.468515284190278; Server_07, 4.477705882657671; Server_06, 2.151409623879999; Server_0, 4.481634013645982; Server_02, 4.464994034966382; Server_03, 4.474536141004879; Server_00, 3.4723372245329314; Server_01, 3.4566361338459033; 
Server_05, 4.475162484262871; Server_04, 4.468348355936383; Server_07, 4.472535043192879; Server_06, 2.212378737545664; Server_0, 4.482162206228092; Server_02, 4.464434299254032; Server_03, 4.470038659550962; Server_00, 3.5802632765222557; Server_01, 3.2363695921815774; 
Server_05, 4.473518261884291; Server_04, 4.477866598619392; Server_07, 4.469981192412556; Server_06, 2.353959097040416; Server_0, 4.48878817765891; Server_02, 4.474567680797775; Server_03, 4.468814106599508; Server_00, 3.4792820667213338; Server_01, 3.6693400167549006; 
